SDSS,Glon,Glat,Vhelio,Vrf,Sp,Ra,Rb,Sloan,Simbad,_RA,_DE
J074950.24+243841.2,196.1,23.2,352,293,B8,66,27,Sloan,Simbad,117.45933,24.64478
J075055.24+472822.9,171.5,29.4,279,307,B6,42,17,Sloan,Simbad,117.73017,47.47303
J075712.93+512938.0,167.0,30.9,287,329,B7,32,13,Sloan,Simbad,119.30387,51.49389
J081828.07+570922.1,160.4,34.2,221,283,B9,42,24,Sloan,Simbad,124.61696,57.15614
J090710.08+365957.5,186.3,42.2,298,280,B9,57,29,Sloan,Simbad,136.792,36.99931
J110224.37+025002.8,251.2,54.4,445,326,A1,51,23,Sloan,Simbad,165.60154,2.83411
J115245.91-021116.2,274.9,57.5,418,305,A1,53,18,Sloan,Simbad,178.19129,-2.18783
J140432.38+352258.4,65.3,72.4,223,293,B8,51,18,Sloan,Simbad,211.13492,35.38289
J141723.34+101245.7,357.2,63.6,282,289,A1,48,19,Sloan,Simbad,214.34725,10.21269
J142001.94+124404.8,2.5,64.8,284,300,B9,27,12,Sloan,Simbad,215.00808,12.73467
J144955.58+310351.4,48.7,63.9,362,447,A1,16,9,Sloan,Simbad,222.48158,31.06428
