Pal,Catalog,r0,FeH,alphaFe,Dhel,Vhel,Vtan,Vtot,Vmin,Vesc,Pbound,Pinterloper,Rating
1,J060306.77 + 825829.1,18.07,-0.06,0.1,3.7,-76,56.1,802.2,92.2,533.6,6.35,0.02,Clean
2,J023433.42 + 262327.5,19.01,-0.15,0.09,5.68,-25.6,15.7,628.6,290,517.3,7.43,0.18,Clean
3,J160620.65 + 042451.5,19.01,-0.91,0.4,4.06,31.7,23.7,641.8,195.1,588.9,34.88,0.15,Clean
4,J113102.87 + 665751.1,16.15,-0.83,0.46,1.04,-54.9,237.7,1296.7,587.4,552.3,0,0,Reliable
5,J185018.09 + 191236.1,18.16,-0.34,0.19,3.19,58,61.5,1086.8,378.9,576.5,0.04,0,Reliable
6,J035429.27 - 061354.1,18.07,-0.55,0.26,3.13,80.2,46.2,916.3,286.6,534.5,0.07,0.01,Reliable
7,J064337.13 + 291410.0,18.01,-0.55,0.35,3.06,20.4,38.1,793.9,285,530.2,0.3,0.02,Reliable
8,J202446.41 + 121813.4,17.74,-0.65,0.26,2.48,6.26,51.8,769.1,376.3,570.3,1.01,0.03,Reliable
9,J011933.45 + 384913.0,18.26,-0.67,0.22,3.31,-36.9,65.5,937.3,185.2,536.3,1.2,0,Reliable
10,J172630.60 + 075544.0,18.46,-0.67,0.39,3.82,-2.2,59.7,992.9,233.5,591,1.34,0,Reliable
11,J073542.35 + 164941.4,18.35,-0.23,0.12,3.7,78.2,28.8,712.9,285.4,527.3,2.89,0.07,Reliable
12,J025450.18 + 333158.4,18.25,-0.7,0.16,3.14,-62.4,42.8,731.4,265.1,532.9,3.77,0.05,Reliable
13,J134427.80 + 282502.7,18.32,-1.27,0.44,2.91,2.5,44,715.7,270.5,557,4.42,0.07,Reliable
14,J225912.13 + 074356.5,18.76,-0.56,0.37,4.6,-97.8,44.9,840.7,121.8,550,5.86,0.01,Reliable
15,J095816.39 + 005224.4,17.51,-0.8,0.28,2.22,1.6,59.2,649.8,248.7,546.5,15.98,0.14,Reliable
16,J074728.84 + 185520.4,17.81,-0.24,0.13,3.26,43.9,58.1,672.8,55.3,530.7,19.7,0.11,Reliable
17,J064257.02 + 371604.2,16.87,-0.33,0.21,1.78,6.2,49.1,601.4,305.4,540.9,20.01,0.24,Reliable
18,J165956.02 + 392414.9,19.22,-1.14,0.48,4.35,-205.1,33,649.1,170,562.3,21.3,0.14,Reliable
19,J110815.19 - 155210.3,19.01,-0.99,0.35,4.56,131.2,30.1,622.7,162,545.8,23.69,0.19,Reliable
20,J145132.12 + 003258.0,19.47,-0.59,0.12,5.88,88,16.5,606.7,193.1,579.8,43.24,0.23,Reliable
