name,source_id,l,b,pmra,pmra_error,pmdec,pmdec_error,hrv,hrv_error,teff,logg,feh,feh_error,alphafe,alphafe_error,x,y,z,U,U_error,V,V_error,W,W_error,vgsr,dhel,dhel_error,eccentricity,eccentricity_error,Zmax,Zmax_error
HiVel1,3266449244243890176,179.06,-47.69,40.15,1.52,-31.02,0.84,407,3,4900,2.28,-0.93,0.12,0.2,0.03,9.0,-0.0,-0.9,-305,18,-48,113,-260,14,398,1199.5,478.7,0.79,0.03,45.3,15.3
HiVel2,3893087103034072448,272.19,62.75,-6.86,2.15,-6.01,0.95,413,4,4639,2.05,-1.58,0.13,0.27,0.03,8.2,0.2,0.4,11,6,26,9,366,6,313,454.3,244.9,0.54,0.02,26.9,1.3
HiVel3,1038229694366899200,157.03,42.34,-17.07,0.48,-28.37,0.82,301,5,5014,2.71,-1.69,0.12,0.2,0.03,9.0,-0.4,0.8,-296,43,157,69,177,15,366,1224.1,523.7,0.77,0.04,28.4,9.1
HiVel4,1544452200779441664,129.87,66.53,-14.11,0.32,14.1,0.4,-543,5,5096,1.93,-2.41,0.23,0.15,0.06,8.4,-0.2,0.6,89,11,78,3,-512,6,469,687.2,123.8,0.92,0.01,195.4,19.3
HiVel5,4441393313920391936,27.11,28.04,-155.15,1.1,8.46,1.17,-420,6,6477,4.12,-1.16,0.12,0.28,0.11,7.9,-0.1,0.2,-368,9,-71,22,5,32,316,328.3,53.7,0.93,0.01,1.0,2.9
HiVel6,3662741856556426496,328.18,60.43,-229.0,0.15,-80.12,0.1,451,6,6199,4.33,-1.86,0.18,,,8.1,0.1,0.2,13,43,-158,63,408,5,401,286.5,66.4,0.74,0.05,49.7,17.9
HiVel7,3962215976052842752,211.20,87.94,-49.38,0.85,20.44,0.74,466,6,4254,1.83,-0.32,0.15,0.13,0.05,8.2,0.0,0.4,-95,14,207,3,470,6,468,363.3,56.8,0.91,0.01,149.1,12.5
HiVel8,394095719362198784,118.24,-13.80,70.48,1.11,-14.18,0.52,-599,6,5158,2.50,-2.99,0.23,0.13,0.06,8.3,-0.2,-0.1,226,4,-320,6,128,2,408,216.6,11.2,0.75,0.01,16.3,1.9
HiVel9,1245838311692516608,11.84,70.18,-66.73,0.85,52.32,0.48,-576,7,5094,2.24,-2.85,0.26,0.18,0.08,8.2,-0.0,0.1,-208,3,190,1,-525,7,550,72.2,1.9,0.99,0.0,1032.6,130.6
HiVel10,1324910411958456064,53.19,42.22,12.45,0.81,-16.4,1.15,-670,8,5671,3.27,-2.68,0.22,-0.34,0.18,8.1,-0.2,0.2,-263,4,-167,5,-459,6,524,296.7,22.8,0.96,0.01,175.6,27.4
HiVel11,2838296564529644288,97.32,-35.76,-4.69,1.96,-5.98,0.46,-504,9,5616,3.09,-1.57,0.16,0.43,0.14,8.3,-0.4,-0.3,80,11,-177,7,294,7,323,531.3,294.6,0.51,0.03,20.4,1.3
HiVel12,1387977505574776320,62.11,56.16,-68.27,0.5,41.3,0.78,-533,10,6473,3.96,-2.18,0.28,,,8.2,-0.1,0.1,-178,4,-47,5,-411,8,410,150.4,8.1,0.8,0.02,62.5,5.9
HiVel13,866863316755386368,194.93,18.94,162.36,0.16,-233.33,0.11,-237,10,6259,4.14,-1.9,0.16,0.36,0.12,8.4,0.1,0.1,334,12,-19,23,0,6,300,247.5,18.3,0.98,0.02,0.2,1.3
HiVel14,3817216883707348352,249.93,58.72,14.31,2.82,-31.89,1.38,753,3,3680,1.83,-0.32,0.1,0.13,0.03,8.3,0.2,0.3,-81,24,-169,19,641,6,644,334.7,185.5,,,,
HiVel15,645807259905057664,203.27,45.64,-23.12,2.0,10.5,1.37,818,3,3694,1.83,-0.32,0.1,0.13,0.03,8.4,0.1,0.2,-544,8,18,4,571,6,753,315.3,85.8,,,,
HiVel16,2086860081541233408,82.37,10.25,-7.17,1.98,-13.75,0.98,-962,10,5733,4.36,-0.35,0.17,,,8.1,-0.5,0.1,-78,12,-712,10,-166,5,734,513.1,151.3,,,,
