id,catalog,teff,e_teff_upp,e_teff_low,logg,e_logg_upp,e_logg_low,vrad,e_vrad_upp,e_vrad_low,vsini,e_vsini_upp,e_vsini_low,mass,e_mass_upp,e_mass_low,age,e_age_upp,e_age_low,loglum,e_loglum_upp,e_loglum_low,radius,e_radius_upp,e_radius_low,rotratio,e_rotratio_upp,e_rotratio_low,ebv,e_ebv_upp,e_ebv_low,dist,e_dist_upp,e_dist_low,e_dist_upp_1sig,e_dist_low_1sig,unknown,e_unknown
HVS1,SDSSJ090744.99+024506.9,11120,280,-340,3.85,0.13,-0.16,829.7,5.5,-5.7,160,37,-23,3.2,0.3,-0.3,272,29,-28,2.22,0.2,-0.15,3.5,1.1,-0.6,0.75,0.05,-0.05,0.099,0.087,-0.069,99.3,39.2,-23.6,15.2,-9.2,0.2396,0.8591
HVS4,SDSSJ091301.01+305119.8,13280,370,-340,3.89,0.16,-0.16,604.6,7.1,-6.6,138,34,-40,4,0.4,-0.4,150,14,-26,2.59,0.21,-0.22,3.8,1,-0.9,0.64,0.03,-0.05,0.005,0.016,-0.005,78.3,22.2,-18.5,8.6,-7.2,0.3632,0.5792
HVS5,SDSSJ091759.48+672238.3,12530,330,-380,4.2,0.14,-0.15,542.5,7.4,-7.6,131,30,-33,3.3,0.2,-0.3,97,78,-95,2.09,0.2,-0.18,2.4,0.6,-0.5,0.61,0.04,-0.18,0.109,0.033,-0.036,31.2,8.3,-6.4,3.2,-2.5,-0.0756,0.1861
HVS6,SDSSJ110557.45+093439.5,12190,420,-440,4.19,0.21,-0.18,619.3,9.7,-10.5,125,44,-89,3.1,0.2,-0.4,142,85,-139,2.04,0.17,-0.27,2.3,0.7,-0.6,0.59,0.07,-0.59,0.033,0.065,-0.033,57.7,17.1,-18.5,6.6,-7.2,-0.7858,0.395
HVS7,SDSSJ113312.12+010824.9,12500,270,-270,3.93,0.11,-0.12,524,4.2,-3.8,58,25,-29,3.5,0.4,-0.3,185,17,-25,2.39,0.18,-0.18,3.4,0.7,-0.6,0.31,0.07,-0.07,0.006,0.021,-0.006,48.2,11.1,-9.5,4.3,-3.7,-0.1803,0.2006
HVS8,SDSSJ094214.04+200322.1,10960,380,-330,4.04,0.19,-0.17,499.6,8.8,-8.6,282,26,-69,2.9,0.3,-0.2,226,60,-131,1.98,0.18,-0.21,2.7,0.8,-0.6,0.95,0.01,-0.01,0.026,0.039,-0.026,37.2,11.4,-9.2,4.4,-3.6,-0.2054,0.2353
HVS9,SDSSJ102137.08-005234.8,12030,360,-340,3.91,0.18,-0.14,622,7.8,-7.6,261,35,-28,3.5,0.3,-0.3,175,21,-60,2.35,0.15,-0.24,3.5,0.7,-0.9,0.95,0.01,-0.01,0.106,0.049,-0.036,66.6,16,-17.8,6.2,-7,0.1509,0.4459
HVS10,SDSSJ120337.85+180250.4,11040,370,-570,4.18,0.2,-0.19,462,12.9,-5.6,55,45,-59,2.7,0.2,-0.3,210,127,-206,1.82,0.2,-0.25,2.2,0.8,-0.6,0.29,0.09,-0.22,0.047,0.05,-0.047,54.2,16,-13.8,6.2,-5.4,-1.055,0.4744
HVS12,SDSSJ105009.60+031550.7,11170,400,-460,4.34,0.2,-0.2,545,8.7,-8.6,0,46,0,2.5,0.2,-0.2,90,197,-86,1.64,0.22,-0.14,1.8,0.6,-0.3,0,0.01,0,0.076,0.095,-0.076,51.7,23.1,-15.8,9,-6.1,-0.1603,0.6615
HVS13,SDSSJ105248.31-000133.9,11370,580,-420,4.11,0.26,-0.22,568.1,13.1,-14.2,166,34,-105,2.9,0.4,-0.3,200,83,-197,1.97,0.28,-0.29,2.5,1.1,-0.8,0.76,0.01,-0.26,0.037,0.07,-0.037,95.2,45.4,-32.5,17.7,-12.7,-0.1322,1.2538
B434,SDSSJ110224.37+025002.8,10190,390,-270,3.85,0.17,-0.17,445.5,6.3,-5.8,101,35,-24,2.8,0.2,-0.2,402,41,-58,2.01,0.18,-0.17,3.3,0.9,-0.8,0.54,0.08,-0.12,0.072,0.053,-0.035,40.5,12.1,-9.5,4.7,-3.7,0.0383,0.2139
B485,SDSSJ101018.82+302028.1,15200,370,-410,3.89,0.11,-0.13,422.9,4.5,-3.4,69,27,-19,4.8,0.6,-0.4,94,12,-11,2.91,0.23,-0.15,4.1,1.2,-0.5,0.35,0.07,-0.05,0.018,0.01,-0.018,33.3,9.4,-4.3,3.7,-1.7,-0.0884,0.0892
B711,SDSSJ142001.94+124404.8,9170,230,-250,3.71,0.13,-0.18,271,2.9,-3.5,0,39,0,2.8,0.1,-0.3,393,151,-42,1.97,0.17,-0.14,3.9,1,-0.7,0,0.39,0,0.009,0.026,-0.009,28.5,8,-5.5,3.1,-2.2,-0.0788,0.1048
B733,SDSSJ144955.58+310351.4,10750,240,-250,4.23,0.12,-0.11,350.8,4.1,-3.5,223,14,-25,2.6,0.2,-0.3,123,102,-119,1.71,0.11,-0.18,2.1,0.3,-0.5,0.95,0.01,-0.39,0.024,0.036,-0.024,9.9,1.7,-2.1,0.7,-0.9,0.1857,0.0555
