source_id,ra,dec,dist,el_dist,eu_dist,rGC,el_rGC,eu_rGC,vGC,el_vGC,eu_vGC,P_mw,P_ub
5932173855446728064,244.1181,-54.44045,2197,162,120,6397,92,123,747,2,3,1.00,1.00
1383279090527227264,240.33735,41.16677,8491,1376,951,10064,908,561,921,179,124,1.00,1.00
6456587609813249536,317.36089,-57.9124,10021,2023,1480,7222,1350,761,875,212,155,0.98,0.99
5935868592404029184,253.90291,-53.29868,12150,2919,1909,5985,2516,1380,747,110,73,0.83,0.98
5831614858352694400,247.45238,-59.96738,20196,6006,4394,14113,5781,4061,664,130,93,0.94,0.92
5239334504523094784,158.89457,-65.46548,19353,4247,2940,18351,3923,2617,609,140,94,0.77,0.88
4395399303719163904,258.75009,8.73145,12848,2766,2262,8194,2309,1620,671,136,106,1.00,0.84
1396963577886583296,237.73164,44.4357,31374,6332,5185,30720,6150,4970,693,145,113,0.00,0.98
5593107043671135744,113.26944,-31.3792,37681,8295,6444,41753,8183,6322,567,100,76,0.00,0.97
5546986344820400512,125.63998,-32.62,29062,5928,4950,32552,5782,4781,551,90,75,0.00,0.93
5257182876777912448,144.73682,-60.53137,26140,6400,4240,25824,6144,3989,605,148,93,0.03,0.92
4326973843264734208,248.8923,-14.51844,5257,881,677,3842,450,465,766,163,122,0.04,0.91
5298599521278293504,140.14259,-62.46243,28525,6774,5110,28145,6545,4850,579,139,104,0.03,0.88
6700075834174889472,304.32289,-32.41577,13068,3816,3123,7584,3330,2219,698,152,120,0.10,0.84
4073247619504712192,280.26863,-26.28806,14653,4331,2807,6884,4240,2648,695,139,88,0.11,0.84
6492391900301222656,348.64665,-58.42957,10276,1878,1541,9641,1335,944,658,149,117,0.06,0.84
4596514892566325504,268.57736,29.12348,14255,2485,1839,12120,2106,1453,617,121,90,0.07,0.84
5830109386395388544,249.9792,-61.90285,23852,6287,4917,17735,6123,4680,600,118,88,0.08,0.84
1990547230937629696,344.00637,53.61551,17543,4372,3415,21331,4114,3130,563,112,84,0.05,0.83
5321157479786017280,128.82063,-53.20458,27523,6086,5176,28715,5877,4914,545,110,95,0.08,0.83
